               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.024967,           0.0094864,           0.0098247,             0.70614,             0.48151,             0.43118,             0.28019,             0.02538,           0.0085437,             0.01994,             0.00307,             0.00307,             0.00307
                  37,            0.024663,           0.0094617,           0.0096176,             0.76539,             0.39584,             0.42698,             0.27677,             0.02649,           0.0085394,            0.020689,            0.002872,            0.002872,            0.002872
                  38,            0.024981,           0.0094673,           0.0098212,             0.72048,             0.47566,             0.44133,             0.28356,            0.025727,           0.0085054,            0.019552,            0.002674,            0.002674,            0.002674
                  39,            0.024267,           0.0093141,           0.0092599,             0.73632,             0.44664,              0.4407,             0.28218,            0.025667,           0.0085733,            0.018941,            0.002476,            0.002476,            0.002476
                  40,            0.024112,           0.0092943,           0.0090568,             0.75079,             0.47077,             0.43514,              0.2784,            0.025495,           0.0086395,            0.018824,            0.002278,            0.002278,            0.002278
                  41,            0.024021,           0.0090046,           0.0088012,             0.69228,             0.45884,             0.44473,             0.28399,            0.025862,           0.0085283,            0.018545,             0.00208,             0.00208,             0.00208
                  42,            0.023598,           0.0090076,           0.0091454,             0.69716,             0.48512,             0.44926,             0.29172,            0.025647,           0.0085396,            0.018154,            0.001882,            0.001882,            0.001882
                  43,            0.023855,            0.009118,           0.0091194,             0.74982,              0.4887,             0.45367,             0.29022,            0.026064,            0.008474,            0.017753,            0.001684,            0.001684,            0.001684
                  44,            0.023665,           0.0091225,           0.0091812,             0.74819,             0.48744,             0.45261,             0.29283,            0.025293,           0.0085265,            0.017815,            0.001486,            0.001486,            0.001486
                  45,             0.02335,           0.0089572,           0.0084919,             0.69485,             0.48921,             0.45145,             0.29469,             0.02506,           0.0085212,            0.017578,            0.001288,            0.001288,            0.001288
                  46,            0.023067,           0.0090208,           0.0086517,             0.76004,             0.47891,             0.45593,             0.29461,            0.025461,           0.0084371,            0.017717,             0.00109,             0.00109,             0.00109
                  47,            0.022756,           0.0089804,           0.0086593,             0.74109,             0.49964,             0.45301,             0.29215,            0.024836,           0.0084639,            0.017495,            0.000892,            0.000892,            0.000892
                  48,            0.022501,           0.0089634,           0.0083557,             0.69479,             0.48144,              0.4573,             0.29806,            0.025077,           0.0084839,             0.01727,            0.000694,            0.000694,            0.000694
                  49,            0.022212,            0.009024,           0.0079867,             0.69999,              0.4739,             0.45501,             0.29482,             0.02469,           0.0085043,             0.01728,            0.000496,            0.000496,            0.000496
